Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"2,760.00","2,767.99",789.12,"1,404.49"
"2,768.00","2,783.99",788.12,"1,403.49"
"2,784.00","2,807.99",787.12,"1,402.49"
"2,808.00","2,815.99",786.12,"1,401.49"
"2,816.00","2,831.99",785.12,"1,400.49"
"2,832.00","2,855.99",784.12,"1,399.49"
"2,856.00","2,863.99",783.12,"1,398.49"
"2,864.00","2,879.99",782.12,"1,397.49"
"2,880.00","2,903.99",781.12,"1,396.49"
"2,904.00","2,911.99",780.12,"1,395.49"
"2,912.00","2,927.99",779.12,"1,394.49"
"2,928.00","2,951.99",778.12,"1,393.49"
"2,952.00","2,959.99",777.12,"1,392.49"
"2,960.00","2,975.99",776.12,"1,391.49"
"2,976.00","2,999.99",775.12,"1,390.49"
"3,000.00","3,007.99",774.12,"1,389.49"
"3,008.00","3,023.99",773.12,"1,388.49"
"3,024.00","3,047.99",772.12,"1,387.49"
"3,048.00","3,055.99",771.12,"1,386.49"
"3,056.00","3,071.99",770.12,"1,385.49"
"3,072.00","3,095.99",769.12,"1,384.49"
"3,096.00","3,103.99",768.12,"1,383.49"
"3,104.00","3,119.99",767.12,"1,382.49"
"3,120.00","3,143.99",766.12,"1,381.49"
"3,144.00","3,151.99",765.12,"1,380.49"
"3,152.00","3,167.99",764.12,"1,379.49"
"3,168.00","3,191.99",763.12,"1,378.49"
"3,192.00","3,199.99",762.12,"1,377.49"
"3,200.00","3,215.99",761.12,"1,376.49"
"3,216.00","3,239.99",760.12,"1,375.49"
"3,240.00","3,247.99",759.12,"1,374.49"
"3,248.00","3,263.99",758.12,"1,373.49"
"3,264.00","3,287.99",757.12,"1,372.49"
"3,288.00","3,295.99",756.12,"1,371.49"
"3,296.00","3,311.99",755.12,"1,370.49"
"3,312.00","3,335.99",754.12,"1,369.49"
"3,336.00","3,343.99",753.12,"1,368.49"
"3,344.00","3,359.99",752.12,"1,367.49"
"3,360.00","3,383.99",751.12,"1,366.49"
"3,384.00","3,391.99",750.12,"1,365.49"
"3,392.00","3,407.99",749.12,"1,364.49"
"3,408.00","3,431.99",748.12,"1,363.49"
"3,432.00","3,439.99",747.12,"1,362.49"
"3,440.00","3,455.99",746.12,"1,361.49"
"3,456.00","3,479.99",745.12,"1,360.49"
"3,480.00","3,487.99",744.12,"1,359.49"
"3,488.00","3,503.99",743.12,"1,358.49"
"3,504.00","3,527.99",742.12,"1,357.49"
