from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Total Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),Total mensuel pour le SRG pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"10,032.00","10,047.99",802.12,"1,417.49"
"10,048.00","10,079.99",801.12,"1,416.49"
"10,080.00","10,127.99",800.12,"1,415.49"
"10,128.00","10,143.99",799.12,"1,414.49"
"10,144.00","10,175.99",798.12,"1,413.49"
"10,176.00","10,223.99",797.12,"1,412.49"
"10,224.00","10,239.99",796.12,"1,411.49"
"10,240.00","10,271.99",795.12,"1,410.49"
"10,272.00","10,319.99",794.12,"1,409.49"
"10,320.00","10,335.99",793.12,"1,408.49"
"10,336.00","10,367.99",792.12,"1,407.49"
"10,368.00","10,415.99",791.12,"1,406.49"
"10,416.00","10,431.99",790.12,"1,405.49"
"10,432.00","10,463.99",789.12,"1,404.49"
"10,464.00","10,511.99",788.12,"1,403.49"
"10,512.00","10,527.99",787.12,"1,402.49"
"10,528.00","10,559.99",786.12,"1,401.49"
"10,560.00","10,607.99",785.12,"1,400.49"
"10,608.00","10,623.99",784.12,"1,399.49"
"10,624.00","10,655.99",783.12,"1,398.49"
"10,656.00","10,703.99",782.12,"1,397.49"
"10,704.00","10,719.99",781.12,"1,396.49"
"10,720.00","10,751.99",780.12,"1,395.49"
"10,752.00","10,799.99",779.12,"1,394.49"
"10,800.00","10,815.99",778.12,"1,393.49"
"10,816.00","10,847.99",777.12,"1,392.49"
"10,848.00","10,895.99",776.12,"1,391.49"
"10,896.00","10,911.99",775.12,"1,390.49"
"10,912.00","10,943.99",774.12,"1,389.49"
"10,944.00","10,991.99",773.12,"1,388.49"
"10,992.00","11,007.99",772.12,"1,387.49"
"11,008.00","11,039.99",771.12,"1,386.49"
"11,040.00","11,087.99",770.12,"1,385.49"
"11,088.00","11,103.99",769.12,"1,384.49"
"11,104.00","11,135.99",768.12,"1,383.49"
"11,136.00","11,183.99",767.12,"1,382.49"
"11,184.00","11,199.99",766.12,"1,381.49"
"11,200.00","11,231.99",765.12,"1,380.49"
"11,232.00","11,279.99",764.12,"1,379.49"
"11,280.00","11,295.99",763.12,"1,378.49"
"11,296.00","11,327.99",762.12,"1,377.49"
"11,328.00","11,375.99",761.12,"1,376.49"
"11,376.00","11,391.99",760.12,"1,375.49"
"11,392.00","11,423.99",759.12,"1,374.49"
"11,424.00","11,471.99",758.12,"1,373.49"
"11,472.00","11,487.99",757.12,"1,372.49"
"11,488.00","11,519.99",756.12,"1,371.49"
"11,520.00","11,567.99",755.12,"1,370.49"
"11,568.00","11,583.99",754.12,"1,369.49"
"11,584.00","11,615.99",753.12,"1,368.49"
"11,616.00","11,663.99",752.12,"1,367.49"
"11,664.00","11,679.99",751.12,"1,366.49"
"11,680.00","11,711.99",750.12,"1,365.49"
"11,712.00","11,759.99",749.12,"1,364.49"
"11,760.00","11,775.99",748.12,"1,363.49"
"11,776.00","11,807.99",747.12,"1,362.49"
"11,808.00","11,855.99",746.12,"1,361.49"
"11,856.00","11,871.99",745.12,"1,360.49"
"11,872.00","11,903.99",744.12,"1,359.49"
"11,904.00","11,951.99",743.12,"1,358.49"
"11,952.00","11,967.99",742.12,"1,357.49"
"11,968.00","11,999.99",741.12,"1,356.49"
"12,000.00","12,047.99",740.12,"1,355.49"
"12,048.00","12,063.99",739.12,"1,354.49"
"12,064.00","12,095.99",738.12,"1,353.49"
"12,096.00","12,143.99",737.12,"1,352.49"
"12,144.00","12,159.99",736.12,"1,351.49"
"12,160.00","12,191.99",735.12,"1,350.49"
"12,192.00","12,239.99",734.12,"1,349.49"
"12,240.00","12,255.99",733.12,"1,348.49"
"12,256.00","12,287.99",732.12,"1,347.49"
"12,288.00","12,335.99",731.12,"1,346.49"
"12,336.00","12,351.99",730.12,"1,345.49"
"12,352.00","12,383.99",729.12,"1,344.49"
"12,384.00","12,431.99",728.12,"1,343.49"
"12,432.00","12,447.99",727.12,"1,342.49"
"12,448.00","12,479.99",726.12,"1,341.49"
"12,480.00","12,527.99",725.12,"1,340.49"
"12,528.00","12,543.99",724.12,"1,339.49"
"12,544.00","12,575.99",723.12,"1,338.49"
"12,576.00","12,623.99",722.12,"1,337.49"
"12,624.00","12,639.99",721.12,"1,336.49"
"12,640.00","12,671.99",720.12,"1,335.49"
"12,672.00","12,719.99",719.12,"1,334.49"
"12,720.00","12,735.99",718.12,"1,333.49"
"12,736.00","12,767.99",717.12,"1,332.49"
"12,768.00","12,815.99",716.12,"1,331.49"
"12,816.00","12,831.99",715.12,"1,330.49"
"12,832.00","12,863.99",714.12,"1,329.49"
"12,864.00","12,911.99",713.12,"1,328.49"
"12,912.00","12,927.99",712.12,"1,327.49"
"12,928.00","12,959.99",711.12,"1,326.49"
"12,960.00","13,007.99",710.12,"1,325.49"
"13,008.00","13,023.99",709.12,"1,324.49"
"13,024.00","13,055.99",708.12,"1,323.49"
"13,056.00","13,103.99",707.12,"1,322.49"
"13,104.00","13,119.99",706.12,"1,321.49"
"13,120.00","13,151.99",705.12,"1,320.49"
"13,152.00","13,199.99",704.12,"1,319.49"
"13,200.00","13,215.99",703.12,"1,318.49"
"13,216.00","13,247.99",702.12,"1,317.49"
"13,248.00","13,295.99",701.12,"1,316.49"
"13,296.00","13,311.99",700.12,"1,315.49"
"13,312.00","13,343.99",699.12,"1,314.49"
"13,344.00","13,391.99",698.12,"1,313.49"
"13,392.00","13,407.99",697.12,"1,312.49"
"13,408.00","13,439.99",696.12,"1,311.49"
"13,440.00","13,487.99",695.12,"1,310.49"
"13,488.00","13,503.99",694.12,"1,309.49"
"13,504.00","13,535.99",693.12,"1,308.49"
"13,536.00","13,583.99",692.12,"1,307.49"
"13,584.00","13,599.99",691.12,"1,306.49"
"13,600.00","13,631.99",690.12,"1,305.49"
"13,632.00","13,679.99",689.12,"1,304.49"
"13,680.00","13,695.99",688.12,"1,303.49"
"13,696.00","13,727.99",687.12,"1,302.49"
"13,728.00","13,775.99",686.12,"1,301.49"
"13,776.00","13,791.99",685.12,"1,300.49"
"13,792.00","13,823.99",684.12,"1,299.49"
"13,824.00","13,871.99",683.12,"1,298.49"
"13,872.00","13,887.99",682.12,"1,297.49"
"13,888.00","13,919.99",681.12,"1,296.49"
"13,920.00","13,967.99",680.12,"1,295.49"
"13,968.00","13,983.99",679.12,"1,294.49"
"13,984.00","14,015.99",678.12,"1,293.49"
"14,016.00","14,063.99",677.12,"1,292.49"
"14,064.00","14,079.99",676.12,"1,291.49"
"14,080.00","14,111.99",675.12,"1,290.49"
"14,112.00","14,159.99",674.12,"1,289.49"
"14,160.00","14,175.99",673.12,"1,288.49"
"14,176.00","14,207.99",672.12,"1,287.49"
"14,208.00","14,255.99",671.12,"1,286.49"
"14,256.00","14,271.99",670.12,"1,285.49"
"14,272.00","14,303.99",669.12,"1,284.49"
"14,304.00","14,351.99",668.12,"1,283.49"
"14,352.00","14,367.99",667.12,"1,282.49"
"14,368.00","14,399.99",666.12,"1,281.49"
"14,400.00","14,447.99",665.12,"1,280.49"
"14,448.00","14,463.99",664.12,"1,279.49"
"14,464.00","14,495.99",663.12,"1,278.49"
"14,496.00","14,543.99",662.12,"1,277.49"
"14,544.00","14,559.99",661.12,"1,276.49"
"14,560.00","14,591.99",660.12,"1,275.49"
"14,592.00","14,639.99",659.12,"1,274.49"
"14,640.00","14,655.99",658.12,"1,273.49"
"14,656.00","14,687.99",657.12,"1,272.49"
"14,688.00","14,735.99",656.12,"1,271.49"
"14,736.00","14,751.99",655.12,"1,270.49"
"14,752.00","14,783.99",654.12,"1,269.49"
"14,784.00","14,831.99",653.12,"1,268.49"
"14,832.00","14,847.99",652.12,"1,267.49"
"14,848.00","14,879.99",651.12,"1,266.49"
"14,880.00","14,927.99",650.12,"1,265.49"
"14,928.00","14,943.99",649.12,"1,264.49"
"14,944.00","14,975.99",648.12,"1,263.49"
"14,976.00","15,023.99",647.12,"1,262.49"
"15,024.00","15,039.99",646.12,"1,261.49"
"15,040.00","15,071.99",645.12,"1,260.49"
"15,072.00","15,119.99",644.12,"1,259.49"
"15,120.00","15,135.99",643.12,"1,258.49"
"15,136.00","15,167.99",642.12,"1,257.49"
"15,168.00","15,215.99",641.12,"1,256.49"
"15,216.00","15,231.99",640.12,"1,255.49"
"15,232.00","15,263.99",639.12,"1,254.49"
"15,264.00","15,311.99",638.12,"1,253.49"
"15,312.00","15,327.99",637.12,"1,252.49"
"15,328.00","15,359.99",636.12,"1,251.49"
"15,360.00","15,407.99",635.12,"1,250.49"
"15,408.00","15,423.99",634.12,"1,249.49"
"15,424.00","15,455.99",633.12,"1,248.49"
"15,456.00","15,503.99",632.12,"1,247.49"
"15,504.00","15,519.99",631.12,"1,246.49"
"15,520.00","15,551.99",630.12,"1,245.49"
"15,552.00","15,599.99",629.12,"1,244.49"
"15,600.00","15,615.99",628.12,"1,243.49"
"15,616.00","15,647.99",627.12,"1,242.49"
"15,648.00","15,695.99",626.12,"1,241.49"
"15,696.00","15,711.99",625.12,"1,240.49"
"15,712.00","15,743.99",624.12,"1,239.49"
"15,744.00","15,791.99",623.12,"1,238.49"
"15,792.00","15,807.99",622.12,"1,237.49"
"15,808.00","15,839.99",621.12,"1,236.49"
"15,840.00","15,887.99",620.12,"1,235.49"
"15,888.00","15,903.99",619.12,"1,234.49"
"15,904.00","15,935.99",618.12,"1,233.49"
"15,936.00","15,983.99",617.12,"1,232.49"
"15,984.00","15,999.99",616.12,"1,231.49"
"16,000.00","16,031.99",615.12,"1,230.49"
"16,032.00","16,079.99",614.12,"1,229.49"
"16,080.00","16,095.99",613.12,"1,228.49"
"16,096.00","16,127.99",612.12,"1,227.49"
"16,128.00","16,175.99",611.12,"1,226.49"
"16,176.00","16,191.99",610.12,"1,225.49"
"16,192.00","16,223.99",609.12,"1,224.49"
"16,224.00","16,271.99",608.12,"1,223.49"
"16,272.00","16,287.99",607.12,"1,222.49"
"16,288.00","16,319.99",606.12,"1,221.49"
"16,320.00","16,367.99",605.12,"1,220.49"
"16,368.00","16,383.99",604.12,"1,219.49"
"16,384.00","16,415.99",603.12,"1,218.49"
"16,416.00","16,463.99",602.12,"1,217.49"
"16,464.00","16,479.99",601.12,"1,216.49"
"16,480.00","16,511.99",600.12,"1,215.49"
"16,512.00","16,559.99",599.12,"1,214.49"
"16,560.00","16,575.99",598.12,"1,213.49"
"16,576.00","16,607.99",597.12,"1,212.49"
"16,608.00","16,655.99",596.12,"1,211.49"
"16,656.00","16,671.99",595.12,"1,210.49"
"16,672.00","16,703.99",594.12,"1,209.49"
"16,704.00","16,751.99",593.12,"1,208.49"
