from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b�n�ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"5,248.00","5,279.99",431.28,"1,046.65"
"5,280.00","5,327.99",430.28,"1,045.65"
"5,328.00","5,343.99",429.28,"1,044.65"
"5,344.00","5,375.99",428.28,"1,043.65"
"5,376.00","5,423.99",427.28,"1,042.65"
"5,424.00","5,439.99",426.28,"1,041.65"
"5,440.00","5,471.99",425.28,"1,040.65"
"5,472.00","5,519.99",424.28,"1,039.65"
"5,520.00","5,535.99",423.28,"1,038.65"
"5,536.00","5,567.99",422.28,"1,037.65"
"5,568.00","5,615.99",421.28,"1,036.65"
"5,616.00","5,631.99",420.28,"1,035.65"
"5,632.00","5,663.99",419.28,"1,034.65"
"5,664.00","5,711.99",418.28,"1,033.65"
"5,712.00","5,727.99",417.28,"1,032.65"
"5,728.00","5,759.99",416.28,"1,031.65"
"5,760.00","5,807.99",415.28,"1,030.65"
"5,808.00","5,823.99",414.28,"1,029.65"
"5,824.00","5,855.99",413.28,"1,028.65"
"5,856.00","5,903.99",412.28,"1,027.65"
"5,904.00","5,919.99",411.28,1026.65
"5,920.00","5,951.99",410.28,1025.65
"5,952.00","5,999.99",409.28,1024.65
"6,000.00","6,015.99",408.28,1023.65
"6,016.00","6,047.99",407.28,1022.65
"6,048.00","6,095.99",406.28,1021.65
"6,096.00","6,111.99",405.28,1020.65
"6,112.00","6,143.99",404.28,1019.65
"6,144.00","6,191.99",403.28,1018.65
"6,192.00","6,207.99",402.28,1017.65
"6,208.00","6,239.99",401.28,1016.65
"6,240.00","6,287.99",400.28,1015.65
"6,288.00","6,303.99",399.28,1014.65
"6,304.00","6,335.99",398.28,1013.65
"6,336.00","6,383.99",397.28,1012.65
"6,384.00","6,399.99",396.28,1011.65
"6,400.00","6,431.99",395.28,1010.65
"6,432.00","6,479.99",394.28,1009.65
"6,480.00","6,495.99",393.28,1008.65
"6,496.00","6,527.99",392.28,1007.65
"6,528.00","6,575.99",391.28,1006.65
"6,576.00","6,591.99",390.28,1005.65
"6,592.00","6,623.99",389.28,1004.65
"6,624.00","6,671.99",388.28,1003.65
"6,672.00","6,687.99",387.28,1002.65
"6,688.00","6,719.99",386.28,1001.65
"6,720.00","6,767.99",385.28,1000.65
"6,768.00","6,783.99",384.28,999.65
"6,784.00","6,815.99",383.28,998.65
"6,816.00","6,863.99",382.28,997.65
"6,864.00","6,879.99",381.28,996.65
"6,880.00","6,911.99",380.28,995.65
"6,912.00","6,959.99",379.28,994.65
"6,960.00","6,975.99",378.28,993.65
"6,976.00","7,007.99",377.28,992.65
"7,008.00","7,055.99",376.28,991.65
"7,056.00","7,071.99",375.28,990.65
"7,072.00","7,103.99",374.28,989.65
"7,104.00","7,151.99",373.28,988.65
"7,152.00","7,167.99",372.28,987.65
"7,168.00","7,199.99",371.28,986.65
"7,200.00","7,247.99",370.28,985.65
"7,248.00","7,263.99",369.28,984.65
"7,264.00","7,295.99",368.28,983.65
"7,296.00","7,343.99",367.28,982.65
"7,344.00","7,359.99",366.28,981.65
"7,360.00","7,391.99",365.28,980.65
"7,392.00","7,439.99",364.28,979.65
"7,440.00","7,455.99",363.28,978.65
"7,456.00","7,487.99",362.28,977.65
"7,488.00","7,535.99",361.28,976.65
"7,536.00","7,551.99",360.28,975.65
"7,552.00","7,583.99",359.28,974.65
"7,584.00","7,631.99",358.28,973.65
"7,632.00","7,647.99",357.28,972.65
"7,648.00","7,679.99",356.28,971.65
"7,680.00","7,727.99",355.28,970.65
"7,728.00","7,743.99",354.28,969.65
"7,744.00","7,775.99",353.28,968.65
"7,776.00","7,823.99",352.28,967.65
"7,824.00","7,839.99",351.28,966.65
"7,840.00","7,871.99",350.28,965.65
"7,872.00","7,919.99",349.28,964.65
"7,920.00","7,935.99",348.28,963.65
"7,936.00","7,967.99",347.94,963.31
"7,968.00","8,015.99",346.94,962.31
"8,016.00","8,063.99",345.94,961.31
"8,064.00","8,111.99",344.94,960.31
"8,112.00","8,159.99",343.94,959.31
"8,160.00","8,207.99",342.94,958.31
"8,208.00","8,255.99",341.94,957.31
"8,256.00","8,303.99",340.94,956.31
"8,304.00","8,351.99",339.94,955.31
"8,352.00","8,399.99",338.94,954.31
