Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,
Yearly Income (excluding Allowance for the Survivor) From ($),Yearly Income (excluding Allowance for the Survivor) To ($),Monthly Allowance for the Survivor ($)
Revenu annuel (excluant l'Allocation au survivant) De ($),Revenu annuel (excluant l'Allocation au survivant) À ($),Allocation mensuelle au survivant ($)
"4,784.00","4,799.99","1,038.08"
"4,800.00","4,831.99","1,035.08"
"4,832.00","4,847.99","1,034.08"
"4,848.00","4,879.99",1031.08
"4,880.00","4,895.99",1030.08
"4,896.00","4,927.99",1027.08
"4,928.00","4,943.99",1026.08
"4,944.00","4,975.99",1023.08
"4,976.00","4,991.99",1022.08
"4,992.00","5,023.99",1019.08
"5,024.00","5,039.99",1018.08
"5,040.00","5,071.99",1015.08
"5,072.00","5,087.99",1014.08
"5,088.00","5,119.99",1011.08
"5,120.00","5,135.99",1010.08
"5,136.00","5,167.99",1007.08
"5,168.00","5,183.99",1006.08
"5,184.00","5,215.99",1003.08
"5,216.00","5,231.99",1002.08
"5,232.00","5,263.99",999.08
"5,264.00","5,279.99",998.08
"5,280.00","5,311.99",995.08
"5,312.00","5,327.99",994.08
"5,328.00","5,359.99",991.08
"5,360.00","5,375.99",990.08
"5,376.00","5,407.99",987.08
"5,408.00","5,423.99",986.08
"5,424.00","5,455.99",983.08
"5,456.00","5,471.99",982.08
"5,472.00","5,503.99",979.08
"5,504.00","5,519.99",978.08
"5,520.00","5,551.99",975.08
"5,552.00","5,567.99",974.08
"5,568.00","5,599.99",971.08
"5,600.00","5,615.99",970.08
"5,616.00","5,647.99",967.08
"5,648.00","5,663.99",966.08
"5,664.00","5,695.99",963.08
"5,696.00","5,711.99",962.08
"5,712.00","5,743.99",959.08
"5,744.00","5,759.99",958.08
"5,760.00","5,791.99",955.08
"5,792.00","5,807.99",954.08
"5,808.00","5,839.99",951.08
"5,840.00","5,855.99",950.08
"5,856.00","5,887.99",947.08
"5,888.00","5,903.99",946.08
"5,904.00","5,935.99",943.08
"5,936.00","5,951.99",942.08
"5,952.00","5,983.99",939.08
"5,984.00","5,999.99",938.08
"6,000.00","6,031.99",935.08
"6,032.00","6,047.99",934.08
"6,048.00","6,079.99",931.08
"6,080.00","6,095.99",930.08
"6,096.00","6,127.99",927.08
"6,128.00","6,143.99",926.08
"6,144.00","6,175.99",923.08
"6,176.00","6,191.99",922.08
"6,192.00","6,223.99",919.08
"6,224.00","6,239.99",918.08
"6,240.00","6,271.99",915.08
"6,272.00","6,287.99",914.08
"6,288.00","6,319.99",911.08
"6,320.00","6,335.99",910.08
"6,336.00","6,367.99",907.08
"6,368.00","6,383.99",906.08
"6,384.00","6,415.99",903.08
"6,416.00","6,431.99",902.08
"6,432.00","6,463.99",899.08
"6,464.00","6,479.99",898.08
"6,480.00","6,511.99",895.08
"6,512.00","6,527.99",894.08
"6,528.00","6,559.99",891.08
"6,560.00","6,575.99",890.08
"6,576.00","6,607.99",887.08
"6,608.00","6,623.99",886.08
"6,624.00","6,655.99",883.08
"6,656.00","6,671.99",882.08
"6,672.00","6,703.99",879.08
"6,704.00","6,719.99",878.08
"6,720.00","6,751.99",875.08
"6,752.00","6,767.99",874.08
"6,768.00","6,799.99",871.08
"6,800.00","6,815.99",870.08
"6,816.00","6,847.99",867.08
"6,848.00","6,863.99",866.08
"6,864.00","6,895.99",863.08
"6,896.00","6,911.99",862.08
"6,912.00","6,943.99",859.08
"6,944.00","6,959.99",858.08
"6,960.00","6,991.99",855.08
"6,992.00","7,007.99",854.08
"7,008.00","7,039.99",851.08
"7,040.00","7,055.99",850.08
"7,056.00","7,087.99",847.08
"7,088.00","7,103.99",846.08
"7,104.00","7,135.99",843.08
"7,136.00","7,151.99",842.08
"7,152.00","7,183.99",839.08
"7,184.00","7,199.99",838.08
"7,200.00","7,231.99",835.08
"7,232.00","7,247.99",834.08
"7,248.00","7,279.99",831.08
"7,280.00","7,295.99",830.08
"7,296.00","7,327.99",827.08
"7,328.00","7,343.99",826.08
"7,344.00","7,375.99",823.08
"7,376.00","7,391.99",822.08
"7,392.00","7,423.99",819.08
"7,424.00","7,439.99",818.08
"7,440.00","7,471.99",815.08
"7,472.00","7,487.99",814.08
"7,488.00","7,519.99",811.08
"7,520.00","7,535.99",810.08
"7,536.00","7,567.99",807.08
"7,568.00","7,583.99",806.08
"7,584.00","7,615.99",803.08
"7,616.00","7,631.99",802.08
"7,632.00","7,663.99",799.08
"7,664.00","7,679.99",798.08
"7,680.00","7,711.99",795.08
"7,712.00","7,727.99",794.08
"7,728.00","7,759.99",791.08
"7,760.00","7,775.99",790.08
"7,776.00","7,807.99",787.08
"7,808.00","7,823.99",786.08
"7,824.00","7,855.99",783.08
"7,856.00","7,871.99",782.08
"7,872.00","7,903.99",779.08
"7,904.00","7,919.99",778.08
"7,920.00","7,951.99",775.08
"7,952.00","7,967.99",774.08
"7,968.00","7,999.99",771.08
"8,000.00","8,015.99",770.08
"8,016.00","8,047.99",767.08
"8,048.00","8,063.99",766.08
"8,064.00","8,095.99",763.08
"8,096.00","8,111.99",762.08
"8,112.00","8,143.99",759.08
"8,144.00","8,159.99",758.08
"8,160.00","8,191.99",755.08
"8,192.00","8,207.99",754.08
"8,208.00","8,239.99",751.08
"8,240.00","8,255.99",750.08
"8,256.00","8,287.99",747.08
"8,288.00","8,303.99",746.08
"8,304.00","8,335.99",743.08
"8,336.00","8,351.99",742.08
"8,352.00","8,383.99",739.08
"8,384.00","8,399.99",738.08
"8,400.00","8,431.99",735.08
"8,432.00","8,447.99",734.08
"8,448.00","8,479.99",731.08
"8,480.00","8,495.99",730.08
"8,496.00","8,527.99",727.08
"8,528.00","8,543.99",726.08
"8,544.00","8,575.99",723.08
"8,576.00","8,591.99",722.08
"8,592.00","8,623.99",719.08
"8,624.00","8,639.99",718.08
"8,640.00","8,671.99",715.08
"8,672.00","8,687.99",714.08
"8,688.00","8,719.99",711.08
"8,720.00","8,735.99",710.08
"8,736.00","8,767.99",707.08
"8,768.00","8,783.99",706.08
"8,784.00","8,815.99",703.08
"8,816.00","8,831.99",702.08
"8,832.00","8,863.99",699.08
"8,864.00","8,879.99",698.72
"8,880.00","8,927.99",695.72
"8,928.00","8,975.99",692.72
"8,976.00","9,023.99",689.72
"9,024.00","9,071.99",686.72
"9,072.00","9,119.99",683.72
"9,120.00","9,167.99",680.72
"9,168.00","9,215.99",677.72
"9,216.00","9,263.99",674.72
"9,264.00","9,311.99",671.72
"9,312.00","9,359.99",668.72
"9,360.00","9,407.99",665.72
"9,408.00","9,455.99",662.72
"9,456.00","9,503.99",659.72
"9,504.00","9,551.99",656.72
"9,552.00","9,599.99",653.72
"9,600.00","9,647.99",650.72
"9,648.00","9,695.99",647.72
"9,696.00","9,743.99",644.72
"9,744.00","9,791.99",641.72
"9,792.00","9,839.99",638.72
"9,840.00","9,887.99",635.72
"9,888.00","9,911.99",635.35
"9,912.00","9,935.99",634.35
"9,936.00","9,959.99",633.35
"9,960.00","9,983.99",632.35
"9,984.00","10,007.99",631.35
"10,008.00","10,031.99",630.35
"10,032.00","10,055.99",629.35
"10,056.00","10,079.99",628.35
"10,080.00","10,103.99",627.35
"10,104.00","10,127.99",626.35
"10,128.00","10,151.99",625.35
"10,152.00","10,175.99",624.35
"10,176.00","10,199.99",623.35
"10,200.00","10,223.99",622.35
"10,224.00","10,247.99",621.35
"10,248.00","10,271.99",620.35
"10,272.00","10,295.99",619.35
"10,296.00","10,319.99",618.35
"10,320.00","10,343.99",617.35
"10,344.00","10,367.99",616.35
"10,368.00","10,391.99",615.35
"10,392.00","10,415.99",614.35
"10,416.00","10,439.99",613.35
"10,440.00","10,463.99",612.35
"10,464.00","10,487.99",611.35
"10,488.00","10,511.99",610.35
"10,512.00","10,535.99",609.35
"10,536.00","10,559.99",608.35
"10,560.00","10,583.99",607.35
"10,584.00","10,607.99",606.35
"10,608.00","10,631.99",605.35
"10,632.00","10,655.99",604.35
"10,656.00","10,679.99",603.35
