from,to,gis,gis&oas,allowance
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,,
#"Combined Yearly Income of couple (excluding OAS, GIS and Allowance) From ($)","Combined Yearly Income of couple (excluding OAS, GIS and Allowance) To ($)",Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($),Monthly Allowance ($)
#"Revenu annuel du couple (sauf la pension de la SV, le SRG et l'Allocation) De ($)","Revenu annuel du couple (sauf la pension de la SV, le SRG et l'Allocation) � ($)",SRG mensuel pour montant maximal de la pension de la SV ($),SRG mensuel pour montant maximal de la pension de la SV ($),Allocation mensuelle ($)<
"21,504.00","21,551.99",270.94,886.31,270.94
"21,552.00","21,599.99",269.94,885.31,269.94
"21,600.00","21,647.99",268.94,884.31,268.94
"21,648.00","21,695.99",267.94,883.31,267.94
"21,696.00","21,743.99",266.94,882.31,266.94
"21,744.00","21,791.99",265.94,881.31,265.94
"21,792.00","21,839.99",264.94,880.31,264.94
"21,840.00","21,887.99",263.94,879.31,263.94
"21,888.00","21,935.99",262.94,878.31,262.94
"21,936.00","21,983.99",261.94,877.31,261.94
"21,984.00","22,031.99",260.94,876.31,260.94
"22,032.00","22,079.99",259.94,875.31,259.94
"22,080.00","22,127.99",258.94,874.31,258.94
"22,128.00","22,175.99",257.94,873.31,257.94
"22,176.00","22,223.99",256.94,872.31,256.94
"22,224.00","22,271.99",255.94,871.31,255.94
"22,272.00","22,319.99",254.94,870.31,254.94
"22,320.00","22,367.99",253.94,869.31,253.94
"22,368.00","22,415.99",252.94,868.31,252.94
"22,416.00","22,463.99",251.94,867.31,251.94
"22,464.00","22,511.99",250.94,866.31,250.94
"22,512.00","22,559.99",249.94,865.31,249.94
"22,560.00","22,607.99",248.94,864.31,248.94
"22,608.00","22,655.99",247.94,863.31,247.94
"22,656.00","22,703.99",246.94,862.31,246.94
"22,704.00","22,751.99",245.94,861.31,245.94
"22,752.00","22,799.99",244.94,860.31,244.94
"22,800.00","22,847.99",243.94,859.31,243.94
"22,848.00","22,895.99",242.94,858.31,242.94
"22,896.00","22,943.99",241.94,857.31,241.94
"22,944.00","22,991.99",240.94,856.31,240.94
"22,992.00","23,039.99",239.94,855.31,239.94
"23,040.00","23,087.99",238.94,854.31,238.94
"23,088.00","23,135.99",237.94,853.31,237.94
"23,136.00","23,183.99",236.94,852.31,236.94
"23,184.00","23,231.99",235.94,851.31,235.94
"23,232.00","23,279.99",234.94,850.31,234.94
"23,280.00","23,327.99",233.94,849.31,233.94
"23,328.00","23,375.99",232.94,848.31,232.94
"23,376.00","23,423.99",231.94,847.31,231.94
"23,424.00","23,471.99",230.94,846.31,230.94
"23,472.00","23,519.99",229.94,845.31,229.94
"23,520.00","23,567.99",228.94,844.31,228.94
"23,568.00","23,615.99",227.94,843.31,227.94
"23,616.00","23,663.99",226.94,842.31,226.94
"23,664.00","23,711.99",225.94,841.31,225.94
"23,712.00","23,759.99",224.94,840.31,224.94
"23,760.00","23,807.99",223.94,839.31,223.94
"23,808.00","23,855.99",222.94,838.31,222.94
"23,856.00","23,903.99",221.94,837.31,221.94
"23,904.00","23,951.99",220.94,836.31,220.94
"23,952.00","23,999.99",219.94,835.31,219.94
"24,000.00","24,047.99",218.94,834.31,218.94
"24,048.00","24,095.99",217.94,833.31,217.94
"24,096.00","24,143.99",216.94,832.31,216.94
"24,144.00","24,191.99",215.94,831.31,215.94
"24,192.00","24,239.99",214.94,830.31,214.94
"24,240.00","24,287.99",213.94,829.31,213.94
"24,288.00","24,335.99",212.94,828.31,212.94
"24,336.00","24,383.99",211.94,827.31,211.94
"24,384.00","24,431.99",211.82,827.19,210.94
"24,432.00","24,479.99",211.82,827.19,209.94
"24,480.00","24,527.99",211.82,827.19,208.94
"24,528.00","24,575.99",211.82,827.19,207.94
"24,576.00","24,623.99",211.82,827.19,206.94
"24,624.00","24,671.99",211.82,827.19,205.94
"24,672.00","24,719.99",211.82,827.19,204.94
"24,720.00","24,767.99",211.82,827.19,203.94
"24,768.00","24,815.99",211.82,827.19,202.94
"24,816.00","24,863.99",211.82,827.19,201.94
"24,864.00","24,911.99",211.82,827.19,200.94
"24,912.00","24,959.99",211.82,827.19,199.94
"24,960.00","25,007.99",211.82,827.19,198.94
"25,008.00","25,055.99",211.82,827.19,197.94
"25,056.00","25,103.99",211.82,827.19,196.94
"25,104.00","25,151.99",211.82,827.19,195.94
"25,152.00","25,199.99",211.82,827.19,194.94
"25,200.00","25,247.99",211.82,827.19,193.94
"25,248.00","25,295.99",211.82,827.19,192.94
"25,296.00","25,343.99",211.82,827.19,191.94
"25,344.00","25,391.99",211.82,827.19,190.94
"25,392.00","25,439.99",211.82,827.19,189.94
"25,440.00","25,487.99",211.82,827.19,188.94
"25,488.00","25,535.99",211.82,827.19,187.94
"25,536.00","25,583.99",211.82,827.19,186.94
"25,584.00","25,631.99",211.82,827.19,185.94
"25,632.00","25,679.99",211.82,827.19,184.94
"25,680.00","25,727.99",211.82,827.19,183.94
"25,728.00","25,775.99",211.82,827.19,182.94
"25,776.00","25,823.99",211.82,827.19,181.94
"25,824.00","25,871.99",211.82,827.19,180.94
"25,872.00","25,919.99",211.82,827.19,179.94
"25,920.00","25,967.99",211.82,827.19,178.94
"25,968.00","26,015.99",211.82,827.19,177.94
"26,016.00","26,063.99",211.82,827.19,176.94
"26,064.00","26,111.99",211.82,827.19,175.94
"26,112.00","26,159.99",211.82,827.19,174.94
"26,160.00","26,207.99",211.82,827.19,173.94
"26,208.00","26,255.99",211.82,827.19,172.94
"26,256.00","26,303.99",211.82,827.19,171.94
"26,304.00","26,351.99",211.82,827.19,170.94
"26,352.00","26,399.99",211.82,827.19,169.94
"26,400.00","26,447.99",211.82,827.19,168.94
